GI,GenBank Accession,UniProt Accession,UniProt Entry ID
,ABJ53695.1,A0A0H2ZL64,PULA_STRP2
,ABJ53954.1,A0A0H2ZLQ1,MLTG_STRP2
,ABJ54295.1,A0A0H2ZMF9,PBP2A_STRP2
,ABJ54218.1,A0A0H2ZNH9,WALK_STRP2
,ABJ54886.1,A0A0H2ZQ76,PCSB_STRP2
,ABJ54967.1,A0A0H2ZQB9,EGTUB_STRP2
,ABJ55230.1,A0A0H2ZQL5,CCRZ_STRP2
,CAA36714.1,Q04IN8,TACY_STRP2
,ABJ55478.1,Q04J43,STKP_STRP2
,ABJ54921.1,Q04LE4,FTSX_STRP2
,ABJ53627.1,A0A0H2ZKY7,ROCS_STRP2
,ABJ53670.1,A0A0H2ZLH6,A0A0H2ZLH6_STRP2
,ABJ53896.1,A0A0H2ZLK9,A0A0H2ZLK9_STRP2
,ABJ53722.1,A0A0H2ZLL3,EGTUA_STRP2
,ABJ54182.1,A0A0H2ZM56,ADHE_STRP2
,ABJ54050.1,A0A0H2ZM82,FTSE_STRP2
,ABJ53877.1,A0A0H2ZM98,A0A0H2ZM98_STRP2
,ABJ53883.1,A0A0H2ZMA2,A0A0H2ZMA2_STRP2
,ABJ53899.1,A0A0H2ZMB4,KHPA_STRP2
,ABJ54400.1,A0A0H2ZMP2,A0A0H2ZMP2_STRP2
,ABJ53792.1,A0A0H2ZMR5,A0A0H2ZMR5_STRP2
,ABJ54114.1,A0A0H2ZMS3,A0A0H2ZMS3_STRP2
,ABJ54579.1,A0A0H2ZNE0,FTSZ_STRP2
,ABJ54734.1,A0A0H2ZNG3,MACP_STRP2
,ABJ54180.1,A0A0H2ZNL3,MURA1_STRP2
,ABJ54733.1,A0A0H2ZNR4,A0A0H2ZNR4_STRP2
,ABJ54659.1,A0A0H2ZP44,A0A0H2ZP44_STRP2
,ABJ54905.1,A0A0H2ZP84,A0A0H2ZP84_STRP2
,ABJ54581.1,A0A0H2ZPC8,RQCH_STRP2
,ABJ55280.1,A0A0H2ZPS7,KHPB_STRP2
,ABJ55331.1,A0A0H2ZRD4,A0A0H2ZRD4_STRP2
,ABJ54931.1,Q04I02,ADCR_STRP2
,ABJ54228.1,Q04J42,PHPP_STRP2
,ABJ54045.1,Q04JG7,CODY_STRP2
,ABJ54797.1,Q04K48,CARB_STRP2
,ABJ53898.1,Q04K99,LDH_STRP2
,ABJ53740.1,Q04KF8,ADDA_STRP2
,ABJ54468.1,Q04KU2,GLMU_STRP2
,ABJ54293.1,Q04L24,PFKA_STRP2
,ABJ55163.1,Q04LD5,RLMN_STRP2
,ABJ54881.1,Q04LZ5,PGK_STRP2
,ABJ55451.1,Q04M32,ILVC_STRP2
,ABJ54102.1,Q04MI9,RUVB_STRP2
,ABJ54349.1,Q04N63,DNAA_STRP2
,ABJ53749.1,A0A0H2ZLA5,A0A0H2ZLA5_STRP2
,ABJ54013.1,A0A0H2ZLU1,A0A0H2ZLU1_STRP2
,ABJ54025.1,A0A0H2ZLU9,A0A0H2ZLU9_STRP2
,ABJ54069.1,A0A0H2ZLX4,A0A0H2ZLX4_STRP2
,ABJ54106.1,A0A0H2ZM00,A0A0H2ZM00_STRP2
,ABJ53947.1,A0A0H2ZM11,A0A0H2ZM11_STRP2
,ABJ54017.1,A0A0H2ZM62,HK06_STRP2
,ABJ53654.1,A0A0H2ZM67,A0A0H2ZM67_STRP2
,ABJ54200.1,A0A0H2ZM70,A0A0H2ZM70_STRP2
,ABJ53836.1,A0A0H2ZM74,A0A0H2ZM74_STRP2
,ABJ54240.1,A0A0H2ZM99,A0A0H2ZM99_STRP2
,ABJ53893.1,A0A0H2ZMA9,A0A0H2ZMA9_STRP2
,ABJ54272.1,A0A0H2ZMC4,A0A0H2ZMC4_STRP2
,ABJ53927.1,A0A0H2ZMD1,A0A0H2ZMD1_STRP2
,ABJ53945.1,A0A0H2ZMD7,A0A0H2ZMD7_STRP2
,ABJ54331.1,A0A0H2ZMI5,A0A0H2ZMI5_STRP2
,ABJ54021.1,A0A0H2ZMJ1,A0A0H2ZMJ1_STRP2
,ABJ54239.1,A0A0H2ZML1,A0A0H2ZML1_STRP2
,ABJ53858.1,A0A0H2ZMQ2,A0A0H2ZMQ2_STRP2
,ABJ54456.1,A0A0H2ZMS9,A0A0H2ZMS9_STRP2
,ABJ54307.1,A0A0H2ZMU0,A0A0H2ZMU0_STRP2
,ABJ53837.1,A0A0H2ZMV5,A0A0H2ZMV5_STRP2
,ABJ53967.1,A0A0H2ZMX9,A0A0H2ZMX9_STRP2
,ABJ54179.1,A0A0H2ZMY1,A0A0H2ZMY1_STRP2
,ABJ53906.1,A0A0H2ZN13,A0A0H2ZN13_STRP2
,ABJ53946.1,A0A0H2ZN37,WALR_STRP2
,ABJ54601.1,A0A0H2ZN50,A0A0H2ZN50_STRP2
,ABJ54053.1,A0A0H2ZN51,A0A0H2ZN51_STRP2
,ABJ54090.1,A0A0H2ZN74,A0A0H2ZN74_STRP2
,ABJ54638.1,A0A0H2ZN81,A0A0H2ZN81_STRP2
,ABJ54010.1,A0A0H2ZN88,A0A0H2ZN88_STRP2
,ABJ54525.1,A0A0H2ZN97,A0A0H2ZN97_STRP2
,ABJ54298.1,A0A0H2ZNB6,A0A0H2ZNB6_STRP2
,ABJ54073.1,A0A0H2ZNC9,A0A0H2ZNC9_STRP2
,ABJ54098.1,A0A0H2ZNE9,A0A0H2ZNE9_STRP2
,ABJ54595.1,A0A0H2ZNF6,RR06_STRP2
,ABJ54728.1,A0A0H2ZNF7,A0A0H2ZNF7_STRP2
,ABJ54202.1,A0A0H2ZNG5,A0A0H2ZNG5_STRP2
,ABJ54436.1,A0A0H2ZNM7,A0A0H2ZNM7_STRP2
,ABJ54688.1,A0A0H2ZNN1,A0A0H2ZNN1_STRP2
,ABJ54831.1,A0A0H2ZNP3,A0A0H2ZNP3_STRP2
,ABJ54221.1,A0A0H2ZNP5,A0A0H2ZNP5_STRP2
,ABJ54716.1,A0A0H2ZNP9,A0A0H2ZNP9_STRP2
,ABJ54261.1,A0A0H2ZNT2,A0A0H2ZNT2_STRP2
,ABJ54778.1,A0A0H2ZNU6,A0A0H2ZNU6_STRP2
,ABJ54452.1,A0A0H2ZP21,A0A0H2ZP21_STRP2
,ABJ54972.1,A0A0H2ZP22,A0A0H2ZP22_STRP2
,ABJ54977.1,A0A0H2ZP27,A0A0H2ZP27_STRP2
,ABJ54983.1,A0A0H2ZP32,A0A0H2ZP32_STRP2
,ABJ54376.1,A0A0H2ZP34,A0A0H2ZP34_STRP2
,ABJ54490.1,A0A0H2ZP45,A0A0H2ZP45_STRP2
,ABJ55125.1,A0A0H2ZPF6,A0A0H2ZPF6_STRP2
,ABJ54564.1,A0A0H2ZPG9,A0A0H2ZPG9_STRP2
,ABJ54795.1,A0A0H2ZPH6,A0A0H2ZPH6_STRP2
,ABJ54822.1,A0A0H2ZPK7,A0A0H2ZPK7_STRP2
,ABJ54833.1,A0A0H2ZPM0,A0A0H2ZPM0_STRP2
,ABJ55168.1,A0A0H2ZPQ7,A0A0H2ZPQ7_STRP2
,ABJ55184.1,A0A0H2ZPR8,A0A0H2ZPR8_STRP2
,ABJ54694.1,A0A0H2ZPS0,A0A0H2ZPS0_STRP2
,ABJ54911.1,A0A0H2ZPV8,A0A0H2ZPV8_STRP2
,ABJ55330.1,A0A0H2ZPX2,A0A0H2ZPX2_STRP2
,ABJ54771.1,A0A0H2ZPY7,A0A0H2ZPY7_STRP2
,ABJ54974.1,A0A0H2ZPZ8,A0A0H2ZPZ8_STRP2
,ABJ55296.1,A0A0H2ZQ02,A0A0H2ZQ02_STRP2
,ABJ55366.1,A0A0H2ZQ07,A0A0H2ZQ07_STRP2
,ABJ54832.1,A0A0H2ZQ09,A0A0H2ZQ09_STRP2
,ABJ54839.1,A0A0H2ZQ14,A0A0H2ZQ14_STRP2
,ABJ54802.1,A0A0H2ZQ17,A0A0H2ZQ17_STRP2
,ABJ55006.1,A0A0H2ZQ30,A0A0H2ZQ30_STRP2
,ABJ54863.1,A0A0H2ZQ39,A0A0H2ZQ39_STRP2
,ABJ55452.1,A0A0H2ZQ75,PBP2_STRP2
,ABJ55421.1,A0A0H2ZQ77,A0A0H2ZQ77_STRP2
,ABJ55485.1,A0A0H2ZQD1,A0A0H2ZQD1_STRP2
,ABJ54964.1,A0A0H2ZQF3,A0A0H2ZQF3_STRP2
,ABJ55257.1,A0A0H2ZQP3,A0A0H2ZQP3_STRP2
,ABJ55139.1,A0A0H2ZQS7,A0A0H2ZQS7_STRP2
,ABJ55100.1,A0A0H2ZQT7,WALJ_STRP2
,ABJ55147.1,A0A0H2ZQY3,A0A0H2ZQY3_STRP2
,ABJ55476.1,A0A0H2ZRD8,A0A0H2ZRD8_STRP2
,ABJ55353.1,A0A0H2ZRF9,A0A0H2ZRF9_STRP2
,ABJ55400.1,A0A0H2ZRI4,A0A0H2ZRI4_STRP2
,ABJ55370.1,A0A0H2ZRK9,A0A0H2ZRK9_STRP2
,ABJ55403.1,A0A0H2ZRN9,A0A0H2ZRN9_STRP2
,ABJ53680.1,Q04HS5,MURC_STRP2
,ABJ53659.1,Q04HT3,ATPL_STRP2
,ABJ55505.1,Q04HT7,ATPA_STRP2
,ABJ54840.1,Q04HT9,ATPB_STRP2
,ABJ54508.1,Q04HZ0,GLPK_STRP2
,ABJ54767.1,Q04HZ7,DLTA_STRP2
,ABJ54752.1,Q04I16,FUCI_STRP2
,ABJ54469.1,Q04I25,OTC_STRP2
,ABJ54861.1,Q04I44,ILVD_STRP2
,ABJ54433.1,Q04I59,SYD_STRP2
,ABJ54351.1,Q04I74,SYY_STRP2
,ABJ55291.1,Q04I82,GPDA_STRP2
,ABJ54906.1,Q04IA2,G6PI_STRP2
,ABJ55242.1,Q04IA3,SYE_STRP2
,ABJ53811.1,Q04IB3,TGT_STRP2
,ABJ54153.1,Q04IC8,ACKA_STRP2
,ABJ54063.1,Q04II4,RSMA_STRP2
,ABJ53939.1,Q04IK0,COAD_STRP2
,ABJ54731.1,Q04IK6,RPOB_STRP2
,ABJ54020.1,Q04IK7,RPOC_STRP2
,ABJ55238.1,Q04IK8,NDK_STRP2
,ABJ54571.1,Q04IM6,RECA_STRP2
,ABJ55225.1,Q04IQ2,CH10_STRP2
,ABJ54932.1,Q04IQ3,CH60_STRP2
,ABJ54108.1,Q04IV9,XPT_STRP2
,ABJ54576.1,Q04IY6,TRPD_STRP2
,ABJ53875.1,Q04J38,RPOZ_STRP2
,ABJ53706.1,Q04J70,SECA_STRP2
,ABJ54061.1,Q04J74,ALR_STRP2
,ABJ55128.1,Q04J98,DDL_STRP2
,ABJ54238.1,Q04JB0,SYI_STRP2
,ABJ54957.1,Q04JB4,GPMA_STRP2
,AAC24471.1,Q04JB8,TPX_STRP2
,ABJ53929.1,Q04JC5,DTD_STRP2
,ABJ53634.1,Q04JD7,SYT_STRP2
,ABJ53914.1,Q04JF3,KCY_STRP2
,ABJ55081.1,Q04JF7,TRUA_STRP2
,ABJ54553.1,Q04JH1,APT_STRP2
,ABJ55179.1,Q04JH2,METAA_STRP2
,ABJ55094.1,Q04JH4,TPIS_STRP2
,ABJ55423.1,Q04JH9,CLPX_STRP2
,ABJ54718.1,Q04JI8,GLMM_STRP2
,ABJ53920.1,Q04JJ1,DAPB_STRP2
,ABJ54578.1,Q04JL8,MURE_STRP2
,ABJ54048.1,Q04JN5,PDXS_STRP2
,ABJ55188.1,Q04JN6,PDXT_STRP2
,ABJ54770.1,Q04JQ8,GUAA_STRP2
,ABJ54089.1,Q04JT1,NADE_STRP2
,ABJ54518.1,Q04JT5,NAGB_STRP2
,ABJ53905.1,Q04JT7,HPRK_STRP2
,ABJ54032.1,Q04JV9,MURB_STRP2
,ABJ53909.1,Q04JW5,SYA_STRP2
,ABJ55361.1,Q04JX0,AROD_STRP2
,ABJ54332.1,Q04JX1,AROE_STRP2
,ABJ55156.1,Q04JX2,AROB_STRP2
,ABJ54313.1,Q04JX3,AROC_STRP2
,ABJ54185.1,Q04JX6,AROA_STRP2
,ABJ55115.1,Q04K46,PYRB_STRP2
,ABJ55399.1,Q04K52,TARI_STRP2
,ABJ55368.1,Q04K72,RNC_STRP2
,ABJ54782.1,Q04K81,UVRB_STRP2
,ABJ54635.1,Q04KA9,URK_STRP2
,ABJ54524.1,Q04KB7,LEPA_STRP2
,ABJ54270.1,Q04KF4,RNH2_STRP2
,ABJ55254.1,Q04KF9,ADDB_STRP2
,ABJ55064.1,Q04KG2,ENO_STRP2
,ABJ54622.1,Q04KG7,GLGC_STRP2
,ABJ55433.1,Q04KG8,GLGB_STRP2
,ABJ54766.1,Q04KH2,DNLJ_STRP2
,ABJ54161.1,Q04KI9,NADK_STRP2
,ABJ53704.1,Q04KJ6,REX_STRP2
,ABJ53617.1,Q04KK7,OBG_STRP2
,ABJ55301.1,Q04KR0,GLYA_STRP2
,ABJ55144.1,Q04KR8,MNME_STRP2
,ABJ54534.1,Q04KR9,DAPA_STRP2
,ABJ54157.1,Q04KS5,PEPT_STRP2
,ABJ55058.1,Q04KV9,ERA_STRP2
,ABJ53606.1,Q04KY1,PYRH_STRP2
,ABJ54938.1,Q04KY2,TRMFO_STRP2
,ABJ55060.1,Q04KZ3,PROB_STRP2
,ABJ54320.1,Q04L26,PEPX_STRP2
,ABJ54955.1,Q04L36,THII_STRP2
,ABJ53933.1,Q04L63,PLSY_STRP2
,ABJ55453.1,Q04L69,DEOC_STRP2
,ABJ53917.1,Q04L76,DEOD_STRP2
,ABJ54644.1,Q04L81,DEOB_STRP2
,ABJ54742.1,Q04L82,RPIA_STRP2
,ABJ54164.1,Q04L84,FOLD_STRP2
,ABJ53863.1,Q04LE0,METK_STRP2
,ABJ54512.1,Q04LF4,CLPP_STRP2
,ABJ53950.1,Q04LH2,THIM2_STRP2
,ABJ53957.1,Q04LH9,THIM1_STRP2
,ABJ55386.1,Q04LI2,SYK_STRP2
,ABJ53830.1,Q04LJ2,PYRE_STRP2
,ABJ54645.1,Q04LJ3,PYRF_STRP2
,ABJ54267.1,Q04LK0,MURG_STRP2
,ABJ54058.1,Q04LK1,MURD_STRP2
,ABJ53649.1,Q04LL6,MIAA_STRP2
,ABJ54489.1,Q04LL8,TYSY_STRP2
,ABJ53727.1,Q04LQ9,UVRC_STRP2
,ABJ54028.1,Q04LT4,PNP_STRP2
,ABJ55286.1,Q04LT6,METE_STRP2
,ABJ55158.1,Q04LU1,SYFA_STRP2
,ABJ53918.1,Q04LW5,TRMB_STRP2
,ABJ54388.1,Q04M21,DPO4_STRP2
,ABJ53932.1,Q04M23,UPPP_STRP2
,ABJ53936.1,Q04M48,ACCA_STRP2
,ABJ55098.1,Q04M51,FABZ_STRP2
,ABJ54296.1,Q04M58,FABH_STRP2
,ABJ54621.1,Q04M63,SYS_STRP2
,ABJ55516.1,Q04M67,MUTS2_STRP2
,ABJ54417.1,Q04M70,RNH3_STRP2
,ABJ55051.1,Q04M73,TIG_STRP2
,ABJ54064.1,Q04M86,IDI2_STRP2
,ABJ53846.1,Q04M97,RECU_STRP2
,ABJ54244.1,Q04MC4,MRAY_STRP2
,ABJ54241.1,Q04MF9,GCH1_STRP2
,ABJ54259.1,Q04MI4,SYP_STRP2
,ABJ54589.1,Q04ML1,RPOA_STRP2
,ABJ54173.1,Q04ML5,KAD_STRP2
,ABJ53778.1,Q04MQ9,RUVA_STRP2
,ABJ55359.1,Q04MU2,TSAD_STRP2
,ABJ53868.1,Q04MU7,RPOY_STRP2
,ABJ55053.1,Q04MV1,MNMA_STRP2
,ABJ53962.1,Q04MW7,ASSY_STRP2
,ABJ54358.1,Q04N19,PUR9_STRP2
,ABJ54031.1,Q04N22,PUR5_STRP2
,ABJ54211.1,Q04N31,PLSX_STRP2
,ABJ54068.1,Q04N48,PURA_STRP2
,ABJ54027.1,Q04N59,PTH_STRP2
,ABJ53639.1,A0A0H2ZKZ7,A0A0H2ZKZ7_STRP2
,ABJ53660.1,A0A0H2ZL13,A0A0H2ZL13_STRP2
,ABJ53651.1,A0A0H2ZLE0,A0A0H2ZLE0_STRP2
,ABJ53862.1,A0A0H2ZLI2,A0A0H2ZLI2_STRP2
,ABJ53688.1,A0A0H2ZLI9,A0A0H2ZLI9_STRP2
,ABJ53694.1,A0A0H2ZLJ4,A0A0H2ZLJ4_STRP2
,ABJ53886.1,A0A0H2ZLK0,A0A0H2ZLK0_STRP2
,ABJ53728.1,A0A0H2ZLL8,A0A0H2ZLL8_STRP2
,ABJ53915.1,A0A0H2ZLM4,A0A0H2ZLM4_STRP2
,ABJ53742.1,A0A0H2ZLM5,A0A0H2ZLM5_STRP2
,ABJ53943.1,A0A0H2ZLN9,A0A0H2ZLN9_STRP2
,ABJ53948.1,A0A0H2ZLP5,A0A0H2ZLP5_STRP2
,ABJ53636.1,A0A0H2ZLQ4,A0A0H2ZLQ4_STRP2
,ABJ53977.1,A0A0H2ZLR8,A0A0H2ZLR8_STRP2
,ABJ53989.1,A0A0H2ZLS7,A0A0H2ZLS7_STRP2
,ABJ53821.1,A0A0H2ZLT2,A0A0H2ZLT2_STRP2
,ABJ53843.1,A0A0H2ZLU4,A0A0H2ZLU4_STRP2
,ABJ54039.1,A0A0H2ZLV7,A0A0H2ZLV7_STRP2
,ABJ53879.1,A0A0H2ZLX2,A0A0H2ZLX2_STRP2
,ABJ53692.1,A0A0H2ZLX3,A0A0H2ZLX3_STRP2
,ABJ54075.1,A0A0H2ZLY1,A0A0H2ZLY1_STRP2
,ABJ53901.1,A0A0H2ZLY7,A0A0H2ZLY7_STRP2
,ABJ54088.1,A0A0H2ZLY8,A0A0H2ZLY8_STRP2
,ABJ53751.1,A0A0H2ZM13,A0A0H2ZM13_STRP2
,ABJ54123.1,A0A0H2ZM15,A0A0H2ZM15_STRP2
,ABJ54130.1,A0A0H2ZM20,A0A0H2ZM20_STRP2
,ABJ53769.1,A0A0H2ZM27,A0A0H2ZM27_STRP2
,ABJ53622.1,A0A0H2ZM30,A0A0H2ZM30_STRP2
,ABJ54177.1,A0A0H2ZM51,A0A0H2ZM51_STRP2
,ABJ53825.1,A0A0H2ZM66,A0A0H2ZM66_STRP2
,ABJ54033.1,A0A0H2ZM69,A0A0H2ZM69_STRP2
,ABJ53607.1,A0A0H2ZM89,A0A0H2ZM89_STRP2
,ABJ53871.1,A0A0H2ZM95,A0A0H2ZM95_STRP2
,ABJ54081.1,A0A0H2ZM97,A0A0H2ZM97_STRP2
,ABJ53630.1,A0A0H2ZMB0,A0A0H2ZMB0_STRP2
,ABJ53667.1,A0A0H2ZMB1,A0A0H2ZMB1_STRP2
,ABJ54105.1,A0A0H2ZMB2,A0A0H2ZMB2_STRP2
,ABJ54257.1,A0A0H2ZMB3,A0A0H2ZMB3_STRP2
,ABJ54264.1,A0A0H2ZMB9,A0A0H2ZMB9_STRP2
,ABJ53678.1,A0A0H2ZMC0,A0A0H2ZMC0_STRP2
,ABJ53919.1,A0A0H2ZMC5,A0A0H2ZMC5_STRP2
,ABJ53685.1,A0A0H2ZMC6,A0A0H2ZMC6_STRP2
,ABJ53714.1,A0A0H2ZME3,A0A0H2ZME3_STRP2
,ABJ54168.1,A0A0H2ZMF0,A0A0H2ZMF0_STRP2
,ABJ53996.1,A0A0H2ZMH0,A0A0H2ZMH0_STRP2
,ABJ54314.1,A0A0H2ZMH1,A0A0H2ZMH1_STRP2
,ABJ53763.1,A0A0H2ZMH6,A0A0H2ZMH6_STRP2
,ABJ54216.1,A0A0H2ZMI8,A0A0H2ZMI8_STRP2
,ABJ54222.1,A0A0H2ZMJ4,A0A0H2ZMJ4_STRP2
,ABJ54355.1,A0A0H2ZMK1,A0A0H2ZMK1_STRP2
,ABJ53716.1,A0A0H2ZMK9,A0A0H2ZMK9_STRP2
,ABJ54246.1,A0A0H2ZML6,A0A0H2ZML6_STRP2
,ABJ53733.1,A0A0H2ZMM5,A0A0H2ZMM5_STRP2
,ABJ53824.1,A0A0H2ZMM6,A0A0H2ZMM6_STRP2
,ABJ54072.1,A0A0H2ZMM8,A0A0H2ZMM8_STRP2
,ABJ54077.1,A0A0H2ZMN4,A0A0H2ZMN4_STRP2
,ABJ53840.1,A0A0H2ZMP1,A0A0H2ZMP1_STRP2
,ABJ53864.1,A0A0H2ZMQ6,A0A0H2ZMQ6_STRP2
,ABJ53808.1,A0A0H2ZMS8,A0A0H2ZMS8_STRP2
,ABJ54462.1,A0A0H2ZMT3,A0A0H2ZMT3_STRP2
,ABJ53815.1,A0A0H2ZMT4,A0A0H2ZMT4_STRP2
,ABJ54300.1,A0A0H2ZMT5,A0A0H2ZMT5_STRP2
,ABJ54467.1,A0A0H2ZMT8,A0A0H2ZMT8_STRP2
,ABJ53910.1,A0A0H2ZMU1,A0A0H2ZMU1_STRP2
,ABJ54488.1,A0A0H2ZMV4,A0A0H2ZMV4_STRP2
,ABJ54501.1,A0A0H2ZMW4,A0A0H2ZMW4_STRP2
,ABJ53849.1,A0A0H2ZMW6,A0A0H2ZMW6_STRP2
,ABJ54345.1,A0A0H2ZMW7,A0A0H2ZMW7_STRP2
,ABJ54513.1,A0A0H2ZMX3,A0A0H2ZMX3_STRP2
,ABJ53866.1,A0A0H2ZMY0,A0A0H2ZMY0_STRP2
,ABJ54526.1,A0A0H2ZMY3,A0A0H2ZMY3_STRP2
,ABJ54532.1,A0A0H2ZMY8,A0A0H2ZMY8_STRP2
,ABJ54192.1,A0A0H2ZMZ2,A0A0H2ZMZ2_STRP2
,ABJ53900.1,A0A0H2ZN08,A0A0H2ZN08_STRP2
,ABJ54008.1,A0A0H2ZN15,A0A0H2ZN15_STRP2
,ABJ54214.1,A0A0H2ZN16,A0A0H2ZN16_STRP2
,ABJ54411.1,A0A0H2ZN18,A0A0H2ZN18_STRP2
,ABJ54014.1,A0A0H2ZN20,A0A0H2ZN20_STRP2
,ABJ53921.1,A0A0H2ZN24,A0A0H2ZN24_STRP2
,ABJ54026.1,A0A0H2ZN30,A0A0H2ZN30_STRP2
,ABJ53941.1,A0A0H2ZN34,A0A0H2ZN34_STRP2
,ABJ53952.1,A0A0H2ZN42,A0A0H2ZN42_STRP2
,ABJ54254.1,A0A0H2ZN54,A0A0H2ZN54_STRP2
,ABJ54071.1,A0A0H2ZN59,A0A0H2ZN59_STRP2
,ABJ54076.1,A0A0H2ZN64,A0A0H2ZN64_STRP2
,ABJ54084.1,A0A0H2ZN69,A0A0H2ZN69_STRP2
